origin,job_original,populations_original,origin_DA_id,job_increase
30072832,6230.0,22589.0,35202451,0.0
13459459,195370.0,338194.0,35202884,42410.0
13467655,3775.0,9296.0,35201654,0.0
13451272,0.0,421.0,35201902,0.0
30072854,6070.0,22696.0,35202442,0.0
13459480,125925.0,294799.0,35202235,11490.0
13443096,690.0,1709.0,35203714,0.0
13443098,915.0,7258.0,35202486,0.0
13451291,1885.0,24443.0,35201896,0.0
13443101,1060.0,7243.0,35204172,0.0
13451296,2095.0,13274.0,35202745,0.0
13459490,109645.0,312239.0,35202229,72170.0
14123043,45.0,3471.0,35203955,0.0
13467684,3900.0,9245.0,35201649,0.0
13443112,3910.0,38942.0,35200089,0.0
13459499,60740.0,213174.0,35202245,5245.0
13467691,51225.0,179151.0,35201477,0.0
30105644,66635.0,148849.0,35202283,685.0
13467697,1365.0,9634.0,35201625,0.0
13459508,56965.0,226997.0,35200604,0.0
13459516,137010.0,276293.0,35200566,0.0
20078654,43085.0,199007.0,35204462,0.0
30105665,460085.0,411860.0,35204004,85915.0
13467713,36200.0,90188.0,35200876,8950.0
13459525,63690.0,220613.0,35202244,6275.0
13443143,3910.0,38956.0,35200090,0.0
13459531,295670.0,343957.0,35202773,29040.0
13451340,60.0,2902.0,35203058,0.0
13451345,1885.0,23790.0,35201869,0.0
13451345,1885.0,23790.0,35204164,0.0
20045907,43980.0,181020.0,35201178,1170.0
13443155,1060.0,7392.0,35202485,0.0
13467735,104325.0,224511.0,35201319,1065.0
13443161,920.0,7225.0,35202455,0.0
13467739,1465.0,9882.0,35201626,0.0
14049372,179265.0,323351.0,35204869,12780.0
13459551,218755.0,320089.0,35202933,8145.0
20078689,65660.0,219480.0,35201142,1170.0
13467747,193165.0,252800.0,35201452,12270.0
14049380,391255.0,329535.0,35203817,30055.0
13459556,43070.0,198965.0,35204461,0.0
13459560,22890.0,114751.0,35203249,0.0
13459562,615.0,6456.0,35204064,0.0
14041195,445040.0,361802.0,35200899,97925.0
13451372,12785.0,35015.0,35203539,0.0
13443181,635.0,1031.0,35200051,0.0
13467758,10630.0,29491.0,35201507,0.0
30015597,280.0,1695.0,35204317,0.0
13451376,1380.0,8499.0,35202401,0.0
13467764,3550.0,9209.0,35204674,0.0
13451385,560.0,5165.0,35204333,0.0
30097530,6640.0,18823.0,35204310,0.0
13443194,1060.0,7424.0,35202484,0.0
13459584,72760.0,247988.0,35200576,0.0
13467777,88700.0,211881.0,35201321,0.0
13451396,655.0,4644.0,35203318,0.0
30105732,2945.0,23919.0,35202990,0.0
13443210,3910.0,39054.0,35200088,0.0
30105741,189235.0,264893.0,35204381,855.0
14016656,115.0,754.0,35200667,0.0
30105752,187235.0,258650.0,35204380,855.0
30105752,187235.0,258650.0,35204382,855.0
30105752,187235.0,258650.0,35202943,855.0
14016666,39580.0,176682.0,35203892,0.0
30097568,250.0,2065.0,35201992,0.0
13467809,115.0,2092.0,35201624,0.0
14024870,37910.0,103140.0,35203163,8950.0
13459624,120510.0,318151.0,35202251,97830.0
13459625,149390.0,325029.0,35202891,130100.0
13459637,456700.0,389298.0,35202798,71800.0
13451447,275.0,695.0,35203435,0.0
13459639,252005.0,301955.0,35202779,9075.0
20078778,6095.0,30879.0,35204686,185.0
13459644,142970.0,271800.0,35203865,0.0
13451455,12635.0,32415.0,35203961,0.0
13467842,47025.0,168697.0,35203152,0.0
13451459,795.0,4914.0,35202118,0.0
30064835,3910.0,39506.0,35204273,0.0
13459654,125735.0,293753.0,35202234,7910.0
13467851,103205.0,222451.0,35201320,400.0
30097611,410345.0,280867.0,35200812,82855.0
13459665,60995.0,234657.0,35200612,0.0
14024914,139240.0,260036.0,35200704,0.0
13443283,1060.0,7403.0,35202487,0.0
14041302,3505.0,1507.0,35201437,524560.0
30073041,11055.0,29823.0,35203132,0.0
13459669,300.0,6613.0,35204065,0.0
14041309,39485.0,102786.0,35203162,8950.0
30064866,3910.0,38973.0,35204274,0.0
13451495,60.0,3038.0,35203036,0.0
13467886,3850.0,9242.0,35201648,0.0
13459695,56525.0,229899.0,35200605,0.0
13459698,51380.0,214298.0,35200601,0.0
13451508,665.0,7774.0,35204334,0.0
13451509,590.0,4343.0,35200442,0.0
13451511,12785.0,34909.0,35203462,0.0
13459703,2670.0,16138.0,35203254,0.0
13451516,2165.0,12864.0,35202743,0.0
13451520,1435.0,8582.0,35202400,0.0
13451526,490.0,4278.0,35200438,0.0
13451529,735.0,4948.0,35202116,0.0
13459724,141280.0,270248.0,35203866,0.0
13459742,137500.0,278566.0,35200568,0.0
13467939,40670.0,106935.0,35204748,8950.0
13451559,12785.0,35012.0,35203536,0.0
13467946,10765.0,29512.0,35201676,0.0
13451568,250.0,3080.0,35201976,0.0
30073146,400.0,4273.0,35201829,0.0
13451578,2215.0,13276.0,35202744,0.0
13451580,580.0,4673.0,35204343,0.0
20119871,74305.0,230049.0,35203222,0.0
13459778,47790.0,222576.0,35200602,0.0
13451585,2215.0,13799.0,35204854,0.0
30105924,3900.0,16729.0,35201587,80.0
13467990,3850.0,9170.0,35201647,0.0
14049624,403625.0,348314.0,35200741,57985.0
13451611,0.0,337.0,35204346,0.0
13451611,0.0,337.0,35204347,0.0
13459804,52280.0,216765.0,35200600,0.0
13443422,1060.0,7293.0,35202460,0.0
13459807,0.0,334.0,35203851,0.0
13459808,145125.0,274728.0,35203977,0.0
13459810,2945.0,24371.0,35204433,0.0
13468003,10965.0,29731.0,35201509,0.0
13468004,3725.0,9344.0,35201656,0.0
30105955,32145.0,143969.0,35200647,0.0
13443429,150.0,762.0,35200180,0.0
30097773,3830.0,9284.0,35201658,0.0
13451634,100.0,776.0,35203289,0.0
13451635,140.0,3153.0,35204166,0.0
13459837,56475.0,229914.0,35200603,0.0
13443456,3910.0,38702.0,35200212,0.0
13443456,3910.0,38702.0,35200211,0.0
13459842,74895.0,247882.0,35200611,0.0
13459842,74895.0,247882.0,35200610,0.0
14066055,425830.0,358139.0,35201014,90090.0
13451658,555.0,4360.0,35200440,0.0
13459855,55515.0,202280.0,35202246,1170.0
13459862,141725.0,272755.0,35200567,0.0
13459864,2695.0,24444.0,35202973,0.0
13459868,22640.0,113693.0,35203248,0.0
13468067,10995.0,29821.0,35203142,0.0
14041507,480750.0,488781.0,35204600,95985.0
14041507,480750.0,488781.0,35204618,95985.0
13443497,830.0,6016.0,35204113,0.0
13459882,236375.0,345355.0,35202882,9865.0
13468076,33290.0,128168.0,35204005,0.0
13459885,131915.0,276524.0,35200572,0.0
13459885,131915.0,276524.0,35200574,0.0
13451698,12670.0,34122.0,35203465,0.0
13459891,461690.0,395830.0,35204504,71540.0
13443512,820.0,6884.0,35202454,0.0
13459901,65370.0,220644.0,35202247,2720.0
13468093,175850.0,237891.0,35203160,11235.0
13459904,56055.0,203856.0,35202248,1170.0
13459905,1695.0,6747.0,35204231,0.0
13443522,3865.0,39043.0,35200147,0.0
13459906,279080.0,316927.0,35202776,28210.0
13468102,10985.0,29763.0,35201510,0.0
13459918,685.0,7849.0,35203102,0.0
13451726,1755.0,17432.0,35204059,0.0
13459921,444955.0,370468.0,35202799,71900.0
14066131,446955.0,380158.0,35200989,101195.0
13443540,260.0,3966.0,35203695,0.0
13443541,3910.0,39014.0,35200091,0.0
13451734,12785.0,34865.0,35204349,0.0
13459930,140310.0,254813.0,35204076,0.0
13459933,44030.0,181599.0,35204549,1170.0
13451742,12785.0,34834.0,35203461,0.0
14025184,402650.0,278005.0,35204574,69855.0
30097896,406595.0,265043.0,35200822,83025.0
13451754,285.0,3850.0,35201860,0.0
30056943,13190.0,38820.0,35202350,54830.0
13459953,271795.0,310030.0,35202775,33750.0
13459960,30275.0,139003.0,35203247,0.0
13443582,290.0,3659.0,35203917,0.0
13459966,453955.0,376528.0,35202792,71540.0
13451776,0.0,510.0,35201901,0.0
13459969,133890.0,323906.0,35204512,141335.0
13468162,3800.0,9223.0,35201652,0.0
13451782,2770.0,7051.0,35204052,0.0
13451787,295.0,4078.0,35201861,0.0
14066189,467690.0,426136.0,35200905,98780.0
14025232,42420.0,112248.0,35204142,8950.0
13468177,3900.0,9375.0,35201650,0.0
13451795,660.0,7609.0,35204336,0.0
30097945,451860.0,386032.0,35204156,96760.0
13459998,462045.0,391971.0,35204734,71540.0
13451810,12735.0,34997.0,35203533,0.0
13468208,128415.0,225101.0,35204665,10570.0
13468215,40645.0,158817.0,35201467,0.0
14041667,474475.0,445251.0,35204592,95255.0
13460035,40995.0,172557.0,35204550,1170.0
20079175,434775.0,354612.0,35201433,92445.0
30016075,525.0,2784.0,35204238,0.0
30065231,3910.0,38823.0,35200199,0.0
13443665,215.0,4202.0,35203740,0.0
13460051,146300.0,334180.0,35204547,83505.0
14049879,227340.0,300242.0,35201147,21300.0
13460058,122525.0,271893.0,35200577,0.0
30040667,7100.0,26666.0,35204691,185.0
14066268,424680.0,321381.0,35204608,88105.0
13451870,1490.0,1300.0,35202608,0.0
13460067,2735.0,16674.0,35203252,0.0
13468263,118460.0,214471.0,35204663,10285.0
14041705,223260.0,291433.0,35200930,44595.0
13460076,198565.0,334468.0,35202883,12305.0
13451898,620.0,4464.0,35200439,0.0
13443707,3860.0,38185.0,35200150,0.0
13451901,110.0,2631.0,35201985,0.0
13451906,12725.0,34959.0,35203534,0.0
13468294,3765.0,9176.0,35204251,0.0
13451914,12595.0,33441.0,35204351,0.0
13451922,675.0,4862.0,35202156,0.0
30098068,427360.0,355762.0,35203185,83635.0
30081699,6260.0,22754.0,35200332,0.0
13460133,685.0,7732.0,35201787,0.0
13468329,50.0,1184.0,35201623,0.0
13451947,110.0,2278.0,35201984,0.0
30098092,447930.0,360804.0,35200751,72235.0
13460139,75425.0,250518.0,35204486,0.0
13451953,1200.0,8498.0,35202122,0.0
13468341,10985.0,29696.0,35201511,0.0
13443769,260.0,4070.0,35203743,0.0
14041786,215795.0,289804.0,35201360,16465.0
13443770,3830.0,39013.0,35200210,0.0
13460161,192075.0,278579.0,35200728,8715.0
13460162,244200.0,277567.0,35202774,3535.0
13460165,2750.0,16675.0,35203250,0.0
13443783,260.0,4075.0,35203696,0.0
13451977,625.0,4461.0,35204244,0.0
13451978,1280.0,8540.0,35202121,0.0
30057164,396665.0,337905.0,35203837,92995.0
13460179,295.0,478.0,35200645,0.0
13460182,74115.0,243782.0,35204481,0.0
30024410,137910.0,240505.0,35201166,6360.0
13460185,685.0,7726.0,35204163,0.0
13460187,645.0,566.0,35204505,0.0
13468381,75180.0,167599.0,35204870,8950.0
20030170,205.0,1747.0,35204786,0.0
14050016,33990.0,151456.0,35203799,0.0
14017251,119100.0,225259.0,35201349,1065.0
13460198,59725.0,207727.0,35201128,1170.0
13452007,1230.0,3961.0,35202707,0.0
13452008,10230.0,27168.0,35204039,33160.0
13452009,100.0,2139.0,35202072,0.0
13460202,137590.0,280029.0,35200573,0.0
20161259,83240.0,258600.0,35202239,33855.0
13460204,213970.0,284102.0,35203857,33390.0
13460204,213970.0,284102.0,35204077,33390.0
13468398,115.0,2224.0,35201621,0.0
13460206,172350.0,283078.0,35200727,21905.0
13468395,36940.0,88680.0,35203157,8950.0
13452020,280.0,806.0,35204047,0.0
13460214,2960.0,24498.0,35202974,0.0
13460215,610.0,7815.0,35201788,0.0
13468415,50865.0,131063.0,35204662,8950.0
13443840,85.0,488.0,35203736,0.0
13460228,71510.0,239101.0,35200606,0.0
13460236,51445.0,193623.0,35204551,1855.0
13443853,260.0,4224.0,35203697,0.0
13460238,174480.0,343545.0,35204546,31045.0
14066450,446840.0,390238.0,35200792,85050.0
13468441,3900.0,9273.0,35201660,0.0
30032676,2965.0,8535.0,35204473,0.0
14017319,215200.0,289269.0,35201359,13170.0
13460263,153720.0,304616.0,35201126,1170.0
13452073,2830.0,8976.0,35200451,0.0
30073640,3000.0,24538.0,35202994,0.0
13460272,461215.0,386327.0,35202791,71540.0
13452087,720.0,7045.0,35203288,0.0
13460279,200920.0,273285.0,35203859,8715.0
13452089,630.0,4456.0,35202120,0.0
13443905,3910.0,39123.0,35200209,0.0
